datetime,location,volume,hour
2025-06-16 22:15:00,Brooklyn,187,2025-06-16 22:00:00
2025-06-16 22:30:00,Brooklyn,207,2025-06-16 22:00:00
2025-06-16 22:45:00,Brooklyn,216,2025-06-16 22:00:00
2025-06-16 23:00:00,Brooklyn,215,2025-06-16 23:00:00
2025-06-16 23:15:00,Brooklyn,164,2025-06-16 23:00:00
2025-06-16 23:30:00,Brooklyn,212,2025-06-16 23:00:00
2025-06-16 23:45:00,Brooklyn,205,2025-06-16 23:00:00
2025-03-18 00:00:00,Brooklyn,16,2025-03-18 00:00:00
2025-03-18 00:15:00,Brooklyn,14,2025-03-18 00:00:00
2025-03-18 00:30:00,Brooklyn,8,2025-03-18 00:00:00
2025-03-18 00:45:00,Brooklyn,13,2025-03-18 00:00:00
2025-03-18 01:00:00,Brooklyn,20,2025-03-18 01:00:00
2025-03-18 01:15:00,Brooklyn,8,2025-03-18 01:00:00
2025-03-18 01:30:00,Brooklyn,18,2025-03-18 01:00:00
2025-03-18 01:45:00,Brooklyn,9,2025-03-18 01:00:00
2025-03-18 02:00:00,Brooklyn,9,2025-03-18 02:00:00
2025-03-18 02:15:00,Brooklyn,8,2025-03-18 02:00:00
2025-03-18 02:30:00,Brooklyn,3,2025-03-18 02:00:00
2025-03-18 02:45:00,Brooklyn,2,2025-03-18 02:00:00
2025-03-18 03:00:00,Brooklyn,8,2025-03-18 03:00:00
2025-03-18 03:15:00,Brooklyn,2,2025-03-18 03:00:00
2025-03-18 03:30:00,Brooklyn,2,2025-03-18 03:00:00
2025-03-18 03:45:00,Brooklyn,7,2025-03-18 03:00:00
2025-03-18 04:00:00,Brooklyn,3,2025-03-18 04:00:00
2025-03-18 04:15:00,Brooklyn,5,2025-03-18 04:00:00
2025-03-18 04:30:00,Brooklyn,7,2025-03-18 04:00:00
2025-03-18 04:45:00,Brooklyn,11,2025-03-18 04:00:00
2025-03-18 05:00:00,Brooklyn,14,2025-03-18 05:00:00
2025-03-18 05:15:00,Brooklyn,13,2025-03-18 05:00:00
2025-03-18 05:30:00,Brooklyn,17,2025-03-18 05:00:00
2025-03-18 05:45:00,Brooklyn,19,2025-03-18 05:00:00
2025-03-18 06:00:00,Brooklyn,26,2025-03-18 06:00:00
2025-03-18 06:15:00,Brooklyn,29,2025-03-18 06:00:00
2025-03-18 06:30:00,Brooklyn,38,2025-03-18 06:00:00
2025-03-18 06:45:00,Brooklyn,51,2025-03-18 06:00:00
2025-03-18 07:00:00,Brooklyn,33,2025-03-18 07:00:00
2025-03-18 07:15:00,Brooklyn,45,2025-03-18 07:00:00
2025-03-18 07:30:00,Brooklyn,39,2025-03-18 07:00:00
2025-03-18 07:45:00,Brooklyn,48,2025-03-18 07:00:00
2025-03-18 08:00:00,Brooklyn,51,2025-03-18 08:00:00
2025-03-18 08:15:00,Brooklyn,53,2025-03-18 08:00:00
2025-03-18 08:30:00,Brooklyn,52,2025-03-18 08:00:00
