requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
36190,Brooklyn,2023,5,6,4,0,68,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,4,15,70,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,4,30,84,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,4,45,85,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,5,0,89,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,5,15,96,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,5,30,104,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,5,45,164,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,6,0,112,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,6,15,171,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,6,30,168,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,6,45,195,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,7,0,190,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,7,15,195,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,7,30,239,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
